year,state,state_abbrev,GDP,homeownership(%),unemployment_rate,population(thousands),median income,avg house data
1997,Alabama,AL,143646,71.3,5,4320,49983,191.43
1998,Alabama,AL,148596,72.9,4.4,4351,55997,201.27
1999,Alabama,AL,154094,74.8,4.7,4370,54806,206.43
2000,Alabama,AL,156560,73.2,4.6,4452,49989,211.62
2001,Alabama,AL,156404,73.2,5.1,4468,51798,223.33
2002,Alabama,AL,160870,73.7,5.9,4480,52633,229.90
2003,Alabama,AL,164992,76.2,6,4503,50988,239.01
2004,Alabama,AL,175508,78,5.7,4531,48812,248.15
2005,Alabama,AL,181386,76.6,4.5,4570,46905,265.63
2006,Alabama,AL,184796,74.2,4,4629,47885,286.61
2007,Alabama,AL,185869,73.3,4,4673,47244,300.17
2008,Alabama,AL,185298,73,5.7,4718,47382,303.59
2009,Alabama,AL,178021,74.1,11,4758,47654,299.11
2010,Alabama,AL,182263,73.2,10.5,4785,51999,287.93
2011,Alabama,AL,185055,72.9,9.6,4799,51248,278.14
2012,Alabama,AL,186299,71.9,8,4816,47624,276.94
2013,Alabama,AL,188165,72.7,7.2,4830,44888,274.77
2014,Alabama,AL,186335,72.1,6.8,4842,51092,278.34
2015,Alabama,AL,188716,70,6.1,4853,47175,286.71
2016,Alabama,AL,189614,69.7,5.8,4865,49412,295.52
2017,Alabama,AL,193053,70,4.4,4875,52105,305.64
2018,Alabama,AL,196876,70.3,3.9,4888,49936,319.83
1997,Alaska,AK,42262,67.2,7.1,609,77275,158.66
1998,Alaska,AK,41157,66.3,6.3,615,77703,163.53
1999,Alaska,AK,40722,66.4,6.5,620,81556,169.21
2000,Alaska,AK,39517,66.4,6.4,628,78271,172.12
2001,Alaska,AK,40974,65.3,6.4,634,70945,180.71
2002,Alaska,AK,42881,67.1,7.3,642,75109,190.50
2003,Alaska,AK,42151,70,7.8,648,73868,199.84
2004,Alaska,AK,43735,67.2,7.5,659,73378,220.00
2005,Alaska,AK,45052,66,6.9,667,72041,247.19
2006,Alaska,AK,48517,67.2,6.6,675,70437,271.38
2007,Alaska,AK,51114,66.6,6.3,680,74812,282.06
2008,Alaska,AK,50884,66.4,6.7,687,76477,280.93
2009,Alaska,AK,55838,66.8,7.7,699,68734,279.45
2010,Alaska,AK,54151,65.7,7.9,714,79888,277.76
2011,Alaska,AK,54646,64.4,7.6,722,79237,280.08
2012,Alaska,AK,57670,63.7,7.1,730,71804,281.33
2013,Alaska,AK,54750,64.6,7,737,79611,290.16
2014,Alaska,AK,53209,64.9,6.9,736,66767,296.25
2015,Alaska,AK,53585,62.3,6.5,738,64260,306.15
2016,Alaska,AK,52608,65.2,6.9,742,78249,313.12
2017,Alaska,AK,52492,65.5,7,740,72275,318.63
2018,Alaska,AK,52311,63.7,6.6,737,69739,322.84
1997,Arkansas,AR,82756,66.7,5.2,2524,51237,167.83
1998,Arkansas,AR,84795,66.7,5.2,2538,57269,174.01
1999,Arkansas,AR,89317,65.6,4.6,2551,55931,178.33
2000,Arkansas,AR,90206,68.9,4.3,2679,58172,182.52
2001,Arkansas,AR,89923,71.2,5,2692,60715,192.28
2002,Arkansas,AR,92885,70.3,5.5,2706,55616,198.66
2003,Arkansas,AR,96545,69.6,5.9,2725,56340,206.85
2004,Arkansas,AR,101210,69.1,5.7,2750,58430,218.82
2005,Arkansas,AR,104653,69.2,5.2,2781,53662,234.80
2006,Arkansas,AR,106940,70.8,5.2,2822,54127,249.16
2007,Arkansas,AR,106155,69.5,5.3,2849,58319,256.50
2008,Arkansas,AR,105791,68.9,5.5,2875,54403,255.56
2009,Arkansas,AR,102528,68.5,7.8,2897,51546,252.33
2010,Arkansas,AR,105923,67.9,8.2,2922,56805,245.91
2011,Arkansas,AR,108295,67.6,8.3,2940,52294,241.86
2012,Arkansas,AR,108745,66,7.6,2952,58250,243.18
2013,Arkansas,AR,111779,65.4,7.2,2960,54849,246.70
2014,Arkansas,AR,112706,65.4,6,2968,55378,249.73
2015,Arkansas,AR,113177,67.1,5,2978,57321,256.16
2016,Arkansas,AR,113788,67.6,4,2990,59750,263.78
2017,Arkansas,AR,114851,65,3.7,3003,61155,274.25
2018,Arkansas,AR,115933,64.7,3.7,3014,62283,284.94
1997,Arizona,AZ,168551,63,4.6,4552,40942,173.76
1998,Arizona,AZ,183138,64.3,4.3,4667,42716,182.92
1999,Arizona,AZ,198096,66.3,4.4,4778,44875,191.93
2000,Arizona,AZ,207793,68,4,5161,47400,203.57
2001,Arizona,AZ,212656,68.1,4.8,5273,43424,217.08
2002,Arizona,AZ,219311,65.6,6.1,5396,45332,228.93
2003,Arizona,AZ,233342,67,5.7,5510,43798,242.14
2004,Arizona,AZ,243246,68.7,5,5652,46620,272.55
2005,Arizona,AZ,263061,71.1,4.7,5839,42867,353.49
2006,Arizona,AZ,277288,71.6,4.2,6029,47250,419.01
2007,Arizona,AZ,284907,70.4,3.9,6168,46282,414.60
2008,Arizona,AZ,277477,69.1,6.2,6280,44536,356.91
2009,Arizona,AZ,255081,68.9,9.9,6343,49527,299.82
2010,Arizona,AZ,257485,66.6,10.4,6408,46265,262.79
2011,Arizona,AZ,263211,66,9.5,6473,46213,234.60
2012,Arizona,AZ,268289,65.3,8.3,6557,42752,243.94
2013,Arizona,AZ,270149,65.1,7.7,6635,42515,277.10
2014,Arizona,AZ,273407,63.5,6.8,6734,47695,302.72
2015,Arizona,AZ,279435,61.7,6.1,6834,45362,321.32
2016,Arizona,AZ,288682,61.9,5.4,6945,48037,343.62
2017,Arizona,AZ,297210,64.4,4.9,7049,50964,372.35
2018,Arizona,AZ,309067,65.7,4.8,7172,49781,405.70
1997,California,CA,1378654,55.7,6.4,32218,62120,206.98
1998,California,CA,1470393,56,5.9,32683,63204,224.31
1999,California,CA,1582377,55.7,5.2,33145,65961,242.29
2000,California,CA,1709939,57.1,4.9,33988,67195,272.69
2001,California,CA,1702776,58.2,5.4,34479,68456,307.44
2002,California,CA,1743651,57.7,6.7,34872,66397,341.78
2003,California,CA,1825424,58.9,6.8,35253,67473,384.36
2004,California,CA,1902319,59.7,6.2,35575,65594,471.60
2005,California,CA,1990141,59.7,5.4,35828,66710,582.15
2006,California,CA,2072177,60.2,4.9,36021,65858,641.32
2007,California,CA,2103618,58.3,5.4,36250,62652,606.28
2008,California,CA,2111138,57.5,7.3,36604,69065,485.60
2009,California,CA,2026487,57,11.2,36961,59713,420.22
2010,California,CA,2058138,56.1,12.2,37321,67664,407.63
2011,California,CA,2091586,55.3,11.7,37642,66658,386.24
2012,California,CA,2144497,54.5,10.4,37961,62477,386.55
2013,California,CA,2220868,54.3,8.9,38281,65640,435.69
2014,California,CA,2309928,54.2,7.5,38625,64221,489.46
2015,California,CA,2426143,54.3,6.2,38953,67448,524.40
2016,California,CA,2498840,53.8,5.5,39209,69729,562.04
2017,California,CA,2587572,54.4,4.8,39399,71745,605.93
2018,California,CA,2677939,55.1,4.2,39557,70489,654.35
1997,Colorado,CO,184193,64.1,3.5,3891,67658,210.43
1998,Colorado,CO,201076,65.2,3.6,3969,71951,222.96
1999,Colorado,CO,216300,68.1,3.1,4056,72837,242.28
2000,Colorado,CO,232752,68.3,2.8,4327,70538,270.57
2001,Colorado,CO,236383,68.5,3.8,4426,70231,295.96
2002,Colorado,CO,236786,68.9,5.5,4490,67597,310.75
2003,Colorado,CO,238540,71.3,6,4529,68349,318.81
2004,Colorado,CO,240798,71.1,5.5,4575,67811,330.01
2005,Colorado,CO,250840,71,5,4632,65026,345.91
2006,Colorado,CO,256124,70.1,4.3,4720,69537,356.16
2007,Colorado,CO,264577,70.2,3.7,4804,65618,360.37
2008,Colorado,CO,267713,69,4.8,4890,74228,356.77
2009,Colorado,CO,262380,68.4,7.3,4972,69520,351.04
2010,Colorado,CO,264791,68.5,8.7,5048,71251,339.97
2011,Colorado,CO,268681,65.9,8.4,5122,65601,329.81
2012,Colorado,CO,273520,65.3,7.9,5194,62735,334.40
2013,Colorado,CO,282534,64.4,6.9,5270,73325,355.28
2014,Colorado,CO,295010,65,5,5351,64702,385.09
2015,Colorado,CO,307912,63.6,3.9,5452,70585,426.65
2016,Colorado,CO,315425,62.4,3.2,5541,73841,472.32
2017,Colorado,CO,325129,63.7,2.7,5616,76812,518.46
2018,Colorado,CO,336365,64.4,3.3,5696,73034,567.43
1997,Connecticut,CT,190791,68.1,5,3269,68835,228.02
1998,Connecticut,CT,196248,69.3,3.4,3273,71811,239.44
1999,Connecticut,CT,202230,69.1,2.9,3282,76489,252.28
2000,Connecticut,CT,216370,70,2.4,3412,73363,271.82
2001,Connecticut,CT,220287,71.8,3.1,3433,74726,295.74
2002,Connecticut,CT,219959,71.5,4.3,3459,75847,324.07
2003,Connecticut,CT,222240,73,5.4,3484,75226,351.63
2004,Connecticut,CT,237133,71.7,5,3496,73427,393.99
2005,Connecticut,CT,242485,70.5,4.9,3507,74492,442.14
2006,Connecticut,CT,251581,71.1,4.3,3517,76115,467.13
2007,Connecticut,CT,261129,70.3,4.5,3527,74814,468.20
2008,Connecticut,CT,259722,70.7,5.7,3546,79446,448.15
2009,Connecticut,CT,248041,70.5,7.9,3562,77255,422.75
2010,Connecticut,CT,247461,70.8,9.1,3579,73194,406.87
2011,Connecticut,CT,242020,70.6,8.8,3588,72812,393.89
2012,Connecticut,CT,243801,68.8,8.3,3594,73258,386.40
2013,Connecticut,CT,241081,68.5,7.8,3595,70396,382.91
2014,Connecticut,CT,237558,67.4,6.6,3595,76174,382.91
2015,Connecticut,CT,241916,66.5,5.7,3588,76085,389.27
2016,Connecticut,CT,241447,64.2,5.1,3579,77910,392.42
2017,Connecticut,CT,239884,66.1,4.7,3574,75623,396.79
2018,Connecticut,CT,242171,65.3,4.1,3573,77870,403.23
1997,Delaware,DE,45231,69.2,4,735,67345,237.66
1998,Delaware,DE,49743,71,3.7,744,64013,245.40
1999,Delaware,DE,53862,71.6,3.4,754,70495,254.79
2000,Delaware,DE,56109,72,3.7,786,73646,269.40
2001,Delaware,DE,58882,75.4,3.5,796,69495,289.06
2002,Delaware,DE,56814,75.6,4,806,67088,312.24
2003,Delaware,DE,57957,77.2,4.3,818,59278,338.88
2004,Delaware,DE,60682,77.3,4,831,70522,385.64
2005,Delaware,DE,59974,75.8,4.1,845,58402,444.78
2006,Delaware,DE,61497,76.8,3.6,859,66039,487.08
2007,Delaware,DE,61235,76.8,3.4,872,63727,499.16
2008,Delaware,DE,58656,76.2,4.9,884,61141,482.51
2009,Delaware,DE,60404,76.5,8.3,892,64031,456.35
2010,Delaware,DE,60016,74.7,8.4,900,66274,437.10
2011,Delaware,DE,62017,74.2,7.5,907,65468,412.45
2012,Delaware,DE,61976,73.4,7.2,915,53659,404.18
2013,Delaware,DE,59157,74.1,6.7,924,61160,407.37
2014,Delaware,DE,63693,74.3,5.7,933,66545,414.19
2015,Delaware,DE,65635,73.3,4.9,941,61073,424.97
2016,Delaware,DE,63718,73,4.5,949,60740,436.19
2017,Delaware,DE,63651,70,4.5,957,65012,444.95
2018,Delaware,DE,63855,70.8,3.8,967,61216,464.97
1997,Florida,FL,560888,66.9,4.8,14683,50791,178.59
1998,Florida,FL,590135,66.9,4.3,14908,53901,187.44
1999,Florida,FL,616625,67.6,3.9,15111,54171,194.77
2000,Florida,FL,642693,68.4,3.7,16048,56817,207.98
2001,Florida,FL,658640,69.2,4.7,16357,51782,228.67
2002,Florida,FL,685304,68.7,5.6,16689,53222,252.07
2003,Florida,FL,715436,69.5,5.2,17004,53338,278.73
2004,Florida,FL,757054,72.2,4.6,17415,54017,326.62
2005,Florida,FL,806339,72.4,3.7,17842,53535,410.40
2006,Florida,FL,834346,72.4,3.2,18167,50468,475.39
2007,Florida,FL,835867,71.8,4,18368,50860,463.08
2008,Florida,FL,803218,71.1,6.3,18527,50480,383.88
2009,Florida,FL,758264,70.9,10.4,18653,52400,327.00
2010,Florida,FL,766199,69.3,11.1,18846,52444,294.89
2011,Florida,FL,763746,69,10,19093,48988,272.39
2012,Florida,FL,769309,67,8.5,19326,55412,270.71
2013,Florida,FL,784090,66.1,7.2,19563,57026,292.72
2014,Florida,FL,804322,64.9,6.3,19860,55596,320.25
2015,Florida,FL,835928,64.8,5.5,20224,51750,350.14
2016,Florida,FL,864029,64.3,4.8,20630,53551,383.30
2017,Florida,FL,885906,64.1,4.2,20977,54380,418.69
2018,Florida,FL,916975,65.5,3.6,21299,54644,455.30
1997,Georgia,GA,328995,70.9,4.6,7486,57376,197.52
1998,Georgia,GA,352713,71.2,4.3,7637,59701,209.54
1999,Georgia,GA,377608,71.3,3.9,7788,59605,222.32
2000,Georgia,GA,393195,69.8,3.6,8227,61269,235.72
2001,Georgia,GA,396875,70.1,4,8377,60533,252.97
2002,Georgia,GA,400092,71.8,5,8508,60102,264.44
2003,Georgia,GA,410588,71.4,4.8,8623,58081,274.56
2004,Georgia,GA,429314,70.9,4.8,8769,50848,286.75
2005,Georgia,GA,445533,67.9,5.3,8926,54616,302.84
2006,Georgia,GA,450584,68.5,4.7,9156,50919,316.58
2007,Georgia,GA,453061,67.6,4.5,9350,51440,325.73
2008,Georgia,GA,443416,68.2,6.2,9505,54046,318.54
2009,Georgia,GA,426264,67.4,9.9,9621,52726,303.86
2010,Georgia,GA,433027,67.1,10.5,9712,59196,282.04
2011,Georgia,GA,439891,66.2,10.2,9802,61605,260.82
2012,Georgia,GA,444132,64.3,9.2,9901,50738,251.04
2013,Georgia,GA,450772,64.2,8.2,9973,59053,261.11
2014,Georgia,GA,464061,62.9,7.1,10069,52614,278.85
2015,Georgia,GA,479242,62.9,6,10181,53809,296.61
2016,Georgia,GA,495226,62.3,5.4,10305,56011,315.67
2017,Georgia,GA,509422,62.8,4.7,10413,59398,336.74
2018,Georgia,GA,522424,63.8,3.9,10519,55821,365.86
1997,Hawaii,HI,55679,50.2,6.2,1189,63039,232.46
1998,Hawaii,HI,54360,52.8,6.1,1190,67284,231.81
1999,Hawaii,HI,55182,56.6,5.4,1185,64060,227.18
2000,Hawaii,HI,56417,55.2,4.2,1214,67447,233.42
2001,Hawaii,HI,56019,55.5,4.5,1226,75373,253.04
2002,Hawaii,HI,57912,57.9,4.2,1240,66210,272.54
2003,Hawaii,HI,60838,58.3,4.1,1251,70941,302.52
2004,Hawaii,HI,64928,60.6,3.4,1274,74949,371.64
2005,Hawaii,HI,68566,59.8,2.9,1293,76803,462.32
2006,Hawaii,HI,70403,59.9,2.6,1310,65289,528.87
2007,Hawaii,HI,71192,60.1,2.8,1316,75496,539.27
2008,Hawaii,HI,71689,59.1,4.3,1332,68719,513.00
2009,Hawaii,HI,69095,59.5,7.2,1347,77726,468.74
2010,Hawaii,HI,71007,56.1,6.9,1364,71927,450.47
2011,Hawaii,HI,72080,55.4,6.8,1379,66068,443.64
2012,Hawaii,HI,73583,57.2,6,1395,61648,448.90
2013,Hawaii,HI,74278,57.3,4.9,1408,69355,473.74
2014,Hawaii,HI,74504,58.4,4.4,1415,75619,507.79
2015,Hawaii,HI,77023,59.3,3.6,1422,68379,540.14
2016,Hawaii,HI,78757,57.7,3,1428,75480,575.11
2017,Hawaii,HI,79998,55.9,2.4,1424,75393,604.80
2018,Hawaii,HI,80798,59.5,2.4,1420,80108,638.72
1997,Iowa,IA,113365,72.7,3.1,2854,52276,166.09
1998,Iowa,IA,114230,72.1,2.7,2861,56636,174.14
1999,Iowa,IA,116663,73.9,2.6,2869,54124,181.65
2000,Iowa,IA,122159,75.2,2.6,2929,54370,189.14
2001,Iowa,IA,120669,76.6,3.3,2932,52790,199.02
2002,Iowa,IA,124097,73.9,4,2934,54996,206.28
2003,Iowa,IA,129316,73.4,4.5,2942,57991,213.78
2004,Iowa,IA,139749,73.2,4.5,2954,59112,223.56
2005,Iowa,IA,143876,73.9,4.3,2964,56941,234.53
2006,Iowa,IA,145887,74,3.7,2983,54881,240.75
2007,Iowa,IA,152251,73.7,3.7,2999,57696,245.97
2008,Iowa,IA,149132,74,4.2,3017,52508,247.12
2009,Iowa,IA,145618,72.4,6.4,3033,53102,246.92
2010,Iowa,IA,149536,71.1,6,3051,54304,245.18
2011,Iowa,IA,151248,71.2,5.5,3066,59712,244.47
2012,Iowa,IA,157251,70.2,5,3076,55441,247.12
2013,Iowa,IA,156637,69.8,4.7,3093,52330,251.09
2014,Iowa,IA,164721,69.4,4.2,3110,56737,256.14
2015,Iowa,IA,168252,68.8,3.8,3121,54716,264.59
2016,Iowa,IA,168909,70,3.6,3132,59189,274.29
2017,Iowa,IA,168332,70,3.1,3144,60947,286.15
2018,Iowa,IA,170749,68.9,2.5,3156,58728,298.87
1997,Idaho,ID,37015,72.3,5.1,1211,64606,183.50
1998,Idaho,ID,38791,72.6,5.1,1231,66669,190.12
1999,Idaho,ID,42496,70.3,4.9,1252,70044,193.49
2000,Idaho,ID,47325,70.5,4.7,1299,67357,196.85
2001,Idaho,ID,46062,71.7,5.1,1320,65644,207.19
2002,Idaho,ID,47208,73,5.6,1340,59781,213.46
2003,Idaho,ID,48536,74.4,5.6,1363,61797,222.07
2004,Idaho,ID,51241,73.7,4.9,1392,61403,238.37
2005,Idaho,ID,55387,74.2,4,1428,62028,274.29
2006,Idaho,ID,57590,75.1,3.5,1469,62383,320.16
2007,Idaho,ID,58703,74.5,3.1,1505,58549,338.92
2008,Idaho,ID,59704,75,5.1,1534,62262,330.08
2009,Idaho,ID,57088,75.5,8.8,1554,60765,307.88
2010,Idaho,ID,57907,72.4,9,1571,56658,279.18
2011,Idaho,ID,57797,72.4,8.3,1584,63745,254.32
2012,Idaho,ID,57764,73,7.2,1595,56690,257.17
2013,Idaho,ID,59831,71.5,6.1,1612,58236,271.22
2014,Idaho,ID,61367,69.6,4.8,1631,58306,286.65
2015,Idaho,ID,63208,70,4.2,1652,64032,304.76
2016,Idaho,ID,65565,70.5,3.8,1683,64235,327.63
2017,Idaho,ID,67161,69.9,3.2,1719,67577,358.39
2018,Idaho,ID,69892,69.2,2.8,1754,70145,403.49
1997,Illinois,IL,577804,68.1,4.8,12012,60860,217.18
1998,Illinois,IL,595833,68,4.4,12070,61347,224.22
1999,Illinois,IL,617315,67.1,4.4,12128,61741,233.14
2000,Illinois,IL,641749,67.9,4.3,12434,57409,247.80
2001,Illinois,IL,644181,69.4,5.3,12488,59754,262.65
2002,Illinois,IL,647868,70.1,6.5,12526,57453,278.87
2003,Illinois,IL,655835,70.7,6.8,12556,58064,293.77
2004,Illinois,IL,673262,72.7,6.2,12590,51980,318.30
2005,Illinois,IL,685897,70.9,5.7,12610,56408,346.49
2006,Illinois,IL,704495,70.4,4.5,12644,54699,365.97
2007,Illinois,IL,712710,69.4,5,12696,56690,371.23
2008,Illinois,IL,699430,68.9,6.3,12747,53253,356.89
2009,Illinois,IL,682966,69.1,10.2,12797,49730,333.08
2010,Illinois,IL,694961,68.8,10.4,12841,50575,315.97
2011,Illinois,IL,707060,68.4,9.7,12867,54389,300.78
2012,Illinois,IL,720702,66.8,9,12884,57610,295.36
2013,Illinois,IL,724616,67.2,9,12898,53397,296.47
2014,Illinois,IL,734218,66.4,7.1,12889,55097,305.74
2015,Illinois,IL,741725,65.4,6,12864,51027,316.51
2016,Illinois,IL,743817,65.3,5.8,12827,58697,326.49
2017,Illinois,IL,748162,65.4,4.9,12786,60200,337.21
2018,Illinois,IL,764212,66,4.3,12741,59892,348.53
1997,Indiana,IN,232247,74.1,3.5,5872,52869,187.57
1998,Indiana,IN,246380,72.6,3.1,5908,57159,195.81
1999,Indiana,IN,254489,72.9,3,5943,62134,202.06
2000,Indiana,IN,263693,74.9,3.1,6092,58258,208.41
2001,Indiana,IN,258661,75.3,4.2,6128,59939,218.72
2002,Indiana,IN,265106,75.1,5.2,6156,57456,225.01
2003,Indiana,IN,275194,74.4,5.3,6197,56639,231.12
2004,Indiana,IN,284656,75.8,5.4,6233,57823,237.62
2005,Indiana,IN,285492,75,5.5,6279,59936,246.30
2006,Indiana,IN,291269,74.2,5,6333,59507,250.10
2007,Indiana,IN,299423,73.8,4.6,6380,60084,253.61
2008,Indiana,IN,298264,74.4,5.9,6425,58623,252.02
2009,Indiana,IN,277474,72,10.3,6459,56573,247.86
2010,Indiana,IN,295133,71.2,10.4,6490,56191,242.82
2011,Indiana,IN,296472,72.1,9.1,6516,59377,238.92
2012,Indiana,IN,297553,72.1,8.3,6538,64951,239.38
2013,Indiana,IN,303920,71.7,7.7,6568,58557,241.75
2014,Indiana,IN,313057,70.1,6,6594,61379,246.45
2015,Indiana,IN,309877,69.4,4.8,6608,64500,255.84
2016,Indiana,IN,315130,70.9,4.4,6633,65014,265.22
2017,Indiana,IN,320084,70,3.6,6660,61836,277.88
2018,Indiana,IN,326148,69.8,3.4,6692,68718,298.03
1997,Kansas,KS,104770,66.5,3.8,2616,57076,156.81
1998,Kansas,KS,108508,66.7,3.5,2639,56684,164.65
1999,Kansas,KS,111201,67.5,3.3,2654,56465,173.17
2000,Kansas,KS,113972,69.3,3.6,2694,58882,182.05
2001,Kansas,KS,113853,70.4,4.2,2702,60038,191.90
2002,Kansas,KS,115552,70.3,5.1,2714,59654,200.24
2003,Kansas,KS,117478,70.3,5.5,2723,60537,207.08
2004,Kansas,KS,117883,69.9,5.5,2734,54725,216.06
2005,Kansas,KS,122258,69.5,5,2745,54171,225.81
2006,Kansas,KS,128899,70,4.4,2763,56871,232.96
2007,Kansas,KS,135667,69.4,4.2,2784,52463,239.12
2008,Kansas,KS,138658,68.8,4.6,2808,53155,238.77
2009,Kansas,KS,133277,67.4,6.9,2833,58878,237.83
2010,Kansas,KS,134945,67.4,7.1,2858,51634,235.25
2011,Kansas,KS,138563,65.4,6.5,2869,55975,231.78
2012,Kansas,KS,140478,63.2,5.7,2885,54788,232.28
2013,Kansas,KS,140506,63.5,5.3,2894,51632,234.53
2014,Kansas,KS,143154,64.7,4.5,2901,56743,240.05
2015,Kansas,KS,144932,64.9,4.2,2910,58152,248.48
2016,Kansas,KS,148249,67.1,4,2911,59446,259.86
2017,Kansas,KS,149421,66,3.7,2911,58287,271.76
2018,Kansas,KS,152262,67.3,3.4,2912,63938,287.43
1997,Kentucky,KY,146959,75,5.3,3908,52351,195.47
1998,Kentucky,KY,151551,75.1,4.6,3934,55975,204.15
1999,Kentucky,KY,156261,73.9,4.5,3961,54648,212.95
2000,Kentucky,KY,152118,73.4,4.2,4049,53028,222.12
2001,Kentucky,KY,151921,73.9,5.2,4068,51456,233.03
2002,Kentucky,KY,155676,73.7,5.7,4090,51007,240.82
2003,Kentucky,KY,159180,74.4,6.1,4117,50551,249.61
2004,Kentucky,KY,163436,73.3,5.4,4146,47454,261.36
2005,Kentucky,KY,168805,71.6,5.9,4183,50054,274.44
2006,Kentucky,KY,173337,71.7,5.7,4219,47303,283.39
2007,Kentucky,KY,171869,72.9,5.4,4257,47897,290.13
2008,Kentucky,KY,172151,72.8,6.4,4290,47442,291.83
2009,Kentucky,KY,165015,71.2,10.3,4317,48108,289.54
2010,Kentucky,KY,172045,70.3,10.2,4348,49296,286.09
2011,Kentucky,KY,174136,69.1,9.4,4369,44595,282.63
2012,Kentucky,KY,176302,68.7,8.2,4386,45018,284.20
2013,Kentucky,KY,179390,67.5,8,4405,48456,286.01
2014,Kentucky,KY,179753,67.6,6.5,4414,45427,289.79
2015,Kentucky,KY,180679,67.9,5.3,4426,44926,300.24
2016,Kentucky,KY,181614,67.9,5.1,4438,47474,312.58
2017,Kentucky,KY,183566,70.1,4.9,4454,50883,328.50
2018,Kentucky,KY,186148,69.8,4.3,4468,54555,346.52
1997,Louisiana,LA,201830,66.4,6,4351,52051,142.75
1998,Louisiana,LA,208683,66.6,5.7,4363,44917,150.35
1999,Louisiana,LA,212955,66.8,5.1,4372,49000,156.24
2000,Louisiana,LA,206685,68.1,5.3,4472,47376,161.69
2001,Louisiana,LA,209046,67.1,5.7,4478,49368,170.51
2002,Louisiana,LA,213146,67.4,6.1,4497,47601,177.12
2003,Louisiana,LA,221240,67.5,6.4,4521,45858,185.96
2004,Louisiana,LA,231602,70.6,5.9,4552,50125,196.23
2005,Louisiana,LA,245523,72.5,7.2,4577,44154,209.69
2006,Louisiana,LA,243332,71.3,4.5,4303,44627,232.38
2007,Louisiana,LA,234620,71.5,4.3,4376,49973,244.25
2008,Louisiana,LA,235276,73.5,4.9,4436,48673,245.11
2009,Louisiana,LA,238666,71.9,6.8,4492,48546,244.26
2010,Louisiana,LA,247351,70.4,8,4545,45024,240.62
2011,Louisiana,LA,234063,70.1,7.8,4575,42826,237.85
2012,Louisiana,LA,233623,68.7,7.1,4601,45493,241.11
2013,Louisiana,LA,226616,67.8,6.7,4625,50156,244.59
2014,Louisiana,LA,231841,65.3,6.4,4644,46255,250.19
2015,Louisiana,LA,231326,63.3,6.3,4665,53303,260.19
2016,Louisiana,LA,228526,64.2,6.1,4678,45555,270.32
2017,Louisiana,LA,228678,66.1,5.1,4671,47995,278.10
2018,Louisiana,LA,231161,65.7,4.9,4660,45359,284.88
1997,Massachussets,MA,302806,62.3,3.9,6115,51287,313.66
1998,Massachussets,MA,314880,61.3,3.3,6144,55030,335.50
1999,Massachussets,MA,331705,60.3,3.2,6175,58754,370.45
2000,Massachussets,MA,359521,59.9,2.7,6361,54492,423.91
2001,Massachussets,MA,362434,60.6,3.7,6398,52054,475.09
2002,Massachussets,MA,364797,62.6,5.3,6417,51583,532.85
2003,Massachussets,MA,373814,64.3,5.7,6423,50793,583.81
2004,Massachussets,MA,383487,63.8,5.1,6412,59338,649.45
2005,Massachussets,MA,390792,63.4,4.8,6403,53863,710.09
2006,Massachussets,MA,397743,65.2,4.9,6410,55730,715.28
2007,Massachussets,MA,407974,64.3,4.6,6432,55602,691.81
2008,Massachussets,MA,412601,65.7,5.5,6469,54902,655.15
2009,Massachussets,MA,408062,65.1,8.1,6518,55076,625.45
2010,Massachussets,MA,424581,65.3,8.3,6566,53796,613.63
2011,Massachussets,MA,434724,65.3,7.3,6613,56615,602.45
2012,Massachussets,MA,444330,65.8,6.7,6663,55321,600.44
2013,Massachussets,MA,444866,65.3,6.7,6714,55216,614.97
2014,Massachussets,MA,453479,63,5.7,6764,58146,642.33
2015,Massachussets,MA,469770,60.5,4.8,6796,56983,670.90
2016,Massachussets,MA,477857,59.7,3.9,6826,53216,704.76
2017,Massachussets,MA,488339,60,3.8,6863,54616,748.39
2018,Massachussets,MA,501337,61.5,3.3,6902,58663,794.83
1997,Maryland,MD,221184,70.5,5,5093,73060,217.50
1998,Maryland,MD,231831,68.7,4.4,5130,77227,223.94
1999,Maryland,MD,240910,69.6,3.6,5172,78926,230.81
2000,Maryland,MD,250982,69.9,3.6,5311,79743,243.59
2001,Maryland,MD,260776,70.7,4,5375,76107,263.26
2002,Maryland,MD,270885,72,4.4,5440,78953,290.79
2003,Maryland,MD,277950,71.6,4.4,5496,71598,321.99
2004,Maryland,MD,292115,72.1,4.3,5547,76096,380.24
2005,Maryland,MD,305993,71.2,4.1,5592,77997,461.99
2006,Maryland,MD,311680,72.6,3.9,5627,79488,521.05
2007,Maryland,MD,312093,71.7,3.5,5653,79678,529.90
2008,Maryland,MD,315859,70.6,4.2,5685,75305,490.70
2009,Maryland,MD,314863,69.6,7,5730,74487,444.94
2010,Maryland,MD,327235,68.9,7.7,5789,74100,423.50
2011,Maryland,MD,334307,69.7,7.2,5839,77066,406.51
2012,Maryland,MD,334822,68.5,7,5887,78711,402.92
2013,Maryland,MD,334939,66.9,6.6,5924,74881,409.81
2014,Maryland,MD,338707,66.2,5.8,5958,80867,421.03
2015,Maryland,MD,344454,67.1,5.1,5987,78002,431.72
2016,Maryland,MD,355075,66.5,4.5,6005,77183,445.00
2017,Maryland,MD,362043,66.9,4.3,6025,84094,460.27
2018,Maryland,MD,367915,66.6,3.9,6043,86223,477.92
